carType,color,condition,currency,drive,city,country,make,manufacture_year,mileage,mileage_unit,model,model_variant,price_on_request,type,zip,manufacture_month,fuel_consumption_unit
null,Other,null,CHF,null,Zuzwil,CH,VW,2003,119000,kilometer,PHAETON,Phaeton 4.2 V8 4Motion,true,car,null,11,null
null,Other,null,CHF,null,Zuzwil,CH,Ferrari,2004,45000,kilometer,612,,true,car,null,7,null
null,Other,null,CHF,null,Zuzwil,CH,Audi,2008,14000,kilometer,RS6, Avant 5.0 V10 quattro,true,car,null,6,null
null,Other,null,CHF,null,Zuzwil,CH,Renault,1969,45000,kilometer,null,R8 Gordini,true,car,null,4,null
null,Other,null,CHF,null,Zuzwil,CH,VW,2000,1,kilometer,BEETLE, New Beetle Cup,true,car,null,9,null
null,Other,null,CHF,null,Zuzwil,CH,Mercedes-Benz,1998,128800,kilometer,S 500, L,true,car,null,6,null
null,Other,null,CHF,null,Zuzwil,CH,Audi,2002,38500,kilometer,RS6, Avant quattro,true,car,null,11,null
null,Other,null,CHF,null,Zuzwil,CH,MG,1968,48800,kilometer,MGC,C GT,true,car,null,8,null
null,Other,null,CHF,null,Zuzwil,CH,Porsche,1978,51000,kilometer,924,,true,car,null,4,null
null,Other,null,CHF,null,Zuzwil,CH,VW,2011,36300,kilometer,GOLF,Golf 2.0 TSI R 4Motion,true,car,null,3,null
null,Other,null,CHF,null,Zuzwil,CH,Land Rover,2011,50400,kilometer,DEFENDER,Defender 90 2.4Td4 SW,true,car,null,2,null
null,Other,null,CHF,null,Zuzwil,CH,Audi,1998,54500,kilometer,S6, quattro 4.2,true,car,null,5,null
null,Other,null,CHF,null,Zuzwil,CH,Mercedes-Benz,2004,45500,kilometer,SL 55 AMG,,true,car,null,4,null
null,Other,null,CHF,null,Zuzwil,CH,Porsche,2002,128000,kilometer,911, Carrera Targa,true,car,null,1,null
null,Other,null,CHF,null,Zuzwil,CH,Mercedes-Benz,1993,75900,kilometer,SL 600,,true,car,null,2,null
null,Other,null,CHF,null,Zuzwil,CH,BMW,1995,89200,kilometer,740,i,true,car,null,11,null
null,Other,null,CHF,null,Zuzwil,CH,Mercedes-Benz,1997,106000,kilometer,SL 500,,true,car,null,6,null
null,Other,null,CHF,null,Zuzwil,CH,BMW,1982,238500,kilometer,323, i,true,car,null,4,null
null,Other,null,CHF,null,Zuzwil,CH,Aston Martin,2003,24600,kilometer,V12 Vanquish,Vanquish V12,true,car,null,1,null
null,Other,null,CHF,null,Zuzwil,CH,BMW,2010,67800,kilometer,530 Gran Turismo,530d GT,true,car,null,1,null
null,Other,null,CHF,null,Zuzwil,CH,Talbot,1982,182200,kilometer,MATRA,Murena 2.2,true,car,null,4,null
null,Other,null,CHF,null,Zuzwil,CH,Lotus,2002,26800,kilometer,Super Seven, HKT,true,car,null,9,null
null,Other,null,CHF,null,Zuzwil,CH,Mercedes-Benz,2004,9900,kilometer,S 320, CDI,true,car,null,2,null
null,Other,null,CHF,null,Zuzwil,CH,Ferrari,2000,68000,kilometer,456,M GTA,true,car,null,5,null
null,Other,null,CHF,null,Zuzwil,CH,Lamborghini,2006,16200,kilometer,MURCIÉLAGO,Murciélago 6.2 Roadster,true,car,null,1,null
null,Other,null,CHF,null,Zuzwil,CH,Mercedes-Benz,2002,47300,kilometer,SL 500,,true,car,null,2,null
null,Green,null,CHF,null,Zuzwil,CH,Simca,1976,18200,kilometer,null,Rallye2,true,car,null,11,null
null,Green,null,CHF,null,Zuzwil,CH,BMW,2002,52900,kilometer,M3,,true,car,null,12,null
null,Green,null,CHF,null,Zuzwil,CH,Mercedes-Benz,1997,44000,kilometer,E 420, Elégance,true,car,null,10,null
null,Green,null,CHF,null,Zuzwil,CH,Ferrari,1999,92000,kilometer,456,M GTA,true,car,null,8,null
null,Other,null,CHF,null,Zuzwil,CH,Porsche,2007,36700,kilometer,CAYENNE,Cayenne Turbo,true,car,null,3,null
null,Green,null,CHF,null,Zuzwil,CH,BMW,2003,103600,kilometer,Z4, 2.5i Roadster,true,car,null,3,null
null,Green,null,CHF,null,Porrentruy,CH,Mercedes-Benz,2011,19900,kilometer,S 500, L,true,car,null,9,null
null,Green,null,CHF,null,Zuzwil,CH,NSU,1972,10352,kilometer,null,TT,true,car,null,8,null
null,Green,null,CHF,null,Zuzwil,CH,Audi,2008,42500,kilometer,RS6, Avant 5.0 V10 quattro,true,car,null,10,null
null,Green,null,CHF,null,Zuzwil,CH,Ferrari,2003,14500,kilometer,575M, NOVITEC,true,car,null,6,null
