MakeText,BodyColorText,ModelTypeText,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,ID,InteriorColorText,Km,ModelText,Properties,Seats,TransmissionTypeText,TypeName,TypeNameFull
De Tomaso,White,,Limousine,5752,Zuzwil,null,Occasion,null,null,0,Hinterradantrieb,9,1974,Benzin,0,1103.0,schwarz,68100,PANTERA,null,2,Schaltgetriebe,null,DE TOMASO PANTERA
Porsche,White,Panamera Turbo 4.8,Limousine,4806,Zuzwil,286 g/km,Occasion,G,12.2 l/100km,5,Allrad,9,2009,Benzin,500,1107.0,mehrfarbig,30300,PANAMERA,"""""""Ab MFK""""""",4,Automatisiertes Schaltgetriebe,Panamera Turbo 4.8,PORSCHE Panamera Turbo 4.8
Alfa Romeo,White, 1300 Junior,Cabriolet,1290,Zuzwil,null,Oldtimer,null,null,2,Hinterradantrieb,3,1970,Benzin,88,1109.0,schwarz,106000,SPIDER,"""""""Ab MFK""""""",3,Schaltgetriebe,1300 Junior,ALFA ROMEO SPIDER 1300 Junior
VW,Blue,Phaeton 6.0 W12 4Motion,Limousine,5998,Zuzwil,374 g/km,Occasion,G,15.6 l/100km,4,Allrad,1,2003,Benzin,420,111.0,anthrazit,37800,PHAETON,"""""""Ab MFK""""""",5,Automat sequentiell,Phaeton 6.0 W12 4Motion,VW Phaeton 6.0 W12 4Motion
Bentley,White, Red Label,Limousine,6750,Zuzwil,null,Occasion,null,null,4,Hinterradantrieb,10,2000,Benzin,405,1112.0,beige,85700,ARNAGE,"""""""Ab MFK""""""",5,Automatik-Getriebe,Red Label,BENTLEY ARNAGE Red Label
Mercedes-Benz,White,,Coupé,5513,Zuzwil,353 g/km,Occasion,G,14.7 l/100km,2,Hinterradantrieb,9,2003,Benzin,500,1113.0,beige,12200,CL 600,"""""""Ab MFK"""""," """"Tuning""""""",4,Automat,CL 600
Renault,White,Alpine V6 Turbo,Coupé,2457,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,4,1988,Benzin,185,1114.0,grau,98600,ALPINE,"""""""Ab MFK""""""",4,Schaltgetriebe manuell,Alpine V6 Turbo,RENAULT Alpine V6 Turbo
Mercedes-Benz,White,,Kombi,4663,Zuzwil,214 g/km,Occasion,G,9.2 l/100km,5,Hinterradantrieb,5,2013,Benzin,408,1115.0,schwarz,10400,CLS 500,"""""""Ab MFK""""""",5,Automat sequentiell,CLS 500,MERCEDES-BENZ CLS 500
Porsche,White, Turbo,Coupé,3600,Zuzwil,309 g/km,Occasion,null,12.9 l/100km,2,Allrad,10,2001,Benzin,420,1121.0,beige,30100,911,"""""""Ab MFK""""""",4,Automatik-Getriebe,911 Turbo,PORSCHE 911 Turbo
Ferrari,White,,Coupé,5748,Zuzwil,499 g/km,Occasion,G,21.8 l/100km,2,Hinterradantrieb,4,2003,Benzin,517,1124.0,schwarz,39000,575M,"""""""Ab MFK""""""",2,Automatik-Getriebe,575M,FERRARI 575M
Mercedes-Benz,White,,Cabriolet,4971,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,1,1991,Benzin,320,1125.0,grau,197800,SL 500,"""""""Ab MFK""""""",2,Automat,SL 500,MERCEDES-BENZ SL 500
Peugeot,White, Turbo 16V,Coupé,1775,Zuzwil,null,Occasion,null,null,3,Allrad,11,1984,Benzin,200,1128.0,schwarz,58950,205,"""""""Ab MFK""""""",2,Schaltgetriebe,Turbo 16V,PEUGEOT 205 Turbo 16V
Jaguar,White,,Coupé,3497,Zuzwil,null,Occasion,null,null,0,null,5,1996,null,550,1132.0,grau,25000,XJ 220,"""""""Ab MFK""""""",2,Schaltgetriebe,null,JAGUAR XJ 220
Porsche,White,Cayenne S,SUV / Geländewagen,4511,Zuzwil,380 g/km,Occasion,null,15.8 l/100km,5,Allrad,6,2012,Benzin,340,1133.0,schwarz,1000,CAYENNE,"""""""Ab MFK""""""",5,Automatik-Getriebe,Cayenne S,PORSCHE Cayenne S
