BodyColorText,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,ID,InteriorColorText,Km,MakeText,ModelText,ModelTypeText,Properties,Seats,TransmissionTypeText,TypeName,TypeNameFull
weiss,Limousine,5461,Zuzwil,296 g/km,Occasion,G,12.6 l/100km,4,Allrad,11,2006,Benzin,388,1100.0,schwarz,62300,MERCEDES-BENZ,S 500,S 500 4Matic,"""Ab MFK""",5,Automat sequentiell,S 500 4Matic,MERCEDES-BENZ S 500 4Matic
weiss,Limousine,4398,Zuzwil,329 g/km,Occasion,null,13.8 l/100km,4,Hinterradantrieb,4,1998,Benzin,286,1102.0,grau,85400,BMW,740,740i,"""Ab MFK""",5,Automat,740i,BMW 740i
weiss,Limousine,5752,Zuzwil,null,Occasion,null,null,0,Hinterradantrieb,9,1974,Benzin,0,1103.0,schwarz,68100,DE TOMASO,PANTERA,PANTERA,null,2,Schaltgetriebe,null,DE TOMASO PANTERA
weiss,Limousine,4806,Zuzwil,286 g/km,Occasion,G,12.2 l/100km,5,Allrad,9,2009,Benzin,500,1107.0,mehrfarbig,30300,PORSCHE,PANAMERA,Panamera Turbo 4.8,"""Ab MFK""",4,Automatisiertes Schaltgetriebe,Panamera Turbo 4.8,PORSCHE Panamera Turbo 4.8
weiss,Cabriolet,1290,Zuzwil,null,Oldtimer,null,null,2,Hinterradantrieb,3,1970,Benzin,88,1109.0,schwarz,106000,ALFA ROMEO,SPIDER,SPIDER 1300 Junior,"""Ab MFK""",3,Schaltgetriebe,1300 Junior,ALFA ROMEO SPIDER 1300 Junior
blau mét.,Limousine,5998,Zuzwil,374 g/km,Occasion,G,15.6 l/100km,4,Allrad,1,2003,Benzin,420,111.0,anthrazit,37800,VW,PHAETON,Phaeton 6.0 W12 4Motion,"""Ab MFK""",5,Automat sequentiell,Phaeton 6.0 W12 4Motion,VW Phaeton 6.0 W12 4Motion
weiss,Limousine,6750,Zuzwil,null,Occasion,null,null,4,Hinterradantrieb,10,2000,Benzin,405,1112.0,beige,85700,BENTLEY,ARNAGE,ARNAGE Red Label,"""Ab MFK""",5,Automatik-Getriebe,Red Label,BENTLEY ARNAGE Red Label
weiss,Coupé,5513,Zuzwil,353 g/km,Occasion,G,14.7 l/100km,2,Hinterradantrieb,9,2003,Benzin,500,1113.0,beige,12200,MERCEDES-BENZ,CL 600,CL 600,"""Ab MFK"", ""Tuning""",4,Automat,CL 600,MERCEDES-BENZ CL 600
weiss,Coupé,2457,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,4,1988,Benzin,185,1114.0,grau,98600,RENAULT,ALPINE,Alpine V6 Turbo,"""Ab MFK""",4,Schaltgetriebe manuell,Alpine V6 Turbo,RENAULT Alpine V6 Turbo
weiss,Kombi,4663,Zuzwil,214 g/km,Occasion,G,9.2 l/100km,5,Hinterradantrieb,5,2013,Benzin,408,1115.0,schwarz,10400,MERCEDES-BENZ,CLS 500,CLS 500,"""Ab MFK""",5,Automat sequentiell,CLS 500,MERCEDES-BENZ CLS 500
